DATE,STATION,LONGITUDE,PRCP_ATTRIBUTES,TMAX,ELEVATION,TMAX_ATTRIBUTES,TMIN,PRCP,LATITUDE,NAME,TMIN_ATTRIBUTES
2023-01-01,USW00094728,-73.96925,"T,,W,2400",12.8,42.7,",,W",9.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-02,USW00094728,-73.96925,",,W,2400",13.3,42.7,",,W",9.4,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-03,USW00094728,-73.96925,",,W,2400",14.4,42.7,",,W",8.3,10.7,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-04,USW00094728,-73.96925,",,W,2400",18.9,42.7,",,W",9.4,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-05,USW00094728,-73.96925,",,W,2400",10.0,42.7,",,W",6.7,0.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-06,USW00094728,-73.96925,",,W,2400",9.4,42.7,",,W",3.9,6.9,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-07,USW00094728,-73.96925,",,W,2400",7.2,42.7,",,W",2.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-08,USW00094728,-73.96925,",,W,2400",5.0,42.7,",,W",0.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-09,USW00094728,-73.96925,",,W,2400",6.7,42.7,",,W",2.8,0.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-10,USW00094728,-73.96925,",,W,2400",5.0,42.7,",,W",3.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-11,USW00094728,-73.96925,",,W,2400",3.9,42.7,",,W",1.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-12,USW00094728,-73.96925,",,W,2400",12.8,42.7,",,W",2.8,7.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-13,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",3.3,2.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-14,USW00094728,-73.96925,"T,,W,2400",3.3,42.7,",,W",-0.5,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-15,USW00094728,-73.96925,",,W,2400",5.0,42.7,",,W",-1.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-16,USW00094728,-73.96925,",,W,2400",8.9,42.7,",,W",-2.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-17,USW00094728,-73.96925,"T,,W,2400",8.3,42.7,",,W",1.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-18,USW00094728,-73.96925,",,W,2400",11.7,42.7,",,W",5.6,1.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-19,USW00094728,-73.96925,",,W,2400",6.7,42.7,",,W",4.4,22.1,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-20,USW00094728,-73.96925,"T,,W,2400",9.4,42.7,",,W",4.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-21,USW00094728,-73.96925,"T,,W,2400",5.6,42.7,",,W",2.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-22,USW00094728,-73.96925,",,W,2400",5.6,42.7,",,W",2.2,13.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-23,USW00094728,-73.96925,",,W,2400",3.9,42.7,",,W",2.2,10.4,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-24,USW00094728,-73.96925,",,W,2400",7.8,42.7,",,W",1.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-25,USW00094728,-73.96925,",,W,2400",12.2,42.7,",,W",1.7,22.9,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-26,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",5.0,11.2,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-27,USW00094728,-73.96925,",,W,2400",6.7,42.7,",,W",1.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-28,USW00094728,-73.96925,",,W,2400",11.1,42.7,",,W",2.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-29,USW00094728,-73.96925,",,W,2400",11.7,42.7,",,W",5.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-30,USW00094728,-73.96925,",,W,2400",12.8,42.7,",,W",6.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-01-31,USW00094728,-73.96925,",,W,2400",10.0,42.7,",,W",-0.5,1.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
